,Ts,is,ip,mp,iref,far,zt,zc1,zc2,zc3,fp,pa,symbol,bool,date
1315,45:003:274:360,-52144,293995,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1316,45:003:379:640,-102638,919474,22.29,22.3,22.26,N,0,0,0,1.0,0.0004484304932736127,323,1,0
1317,45:004:374:912,55831,337339,24.98,24.9,25.0,N,0,0,0,1.0,0.0032128514056225643,62,0,0
1318,45:007:307:394,-28478,151805,26.7,26.72,26.66,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1319,45:007:833:650,31625,571319,15.91,15.88,15.94,N,0,0,0,1.0,0.0018891687657430327,264,0,0
1320,45:008:365:244,-26619,246036,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1321,45:009:760:956,-30222,346622,61.86,61.92,61.82,N,153,0,0,1.0,0.0009689922480620522,373,1,0
1322,45:010:421:138,39367,110069,7.02,7.01,7.11,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1323,45:010:799:459,-42479,1117167,32.92,32.98,32.85,N,0,0,0,1.0,0.0018192844147967002,396,1,0
1324,45:011:816:499,-441163,11940538,55.94,56.02,55.92,N,0,0,0,1.0,0.0014280614066405819,125,1,0
1325,45:012:487:586,-30799,469279,19.14,19.17,19.13,N,1,0,1,1.0,0.0015649452269171171,248,1,0
1326,45:022:446:135,-46950,806467,70.54,70.64,70.53,N,1,0,1,1.0,0.0014156285390712672,332,1,0
1327,45:024:344:130,-66927,3458915,47.33,47.37,47.26,N,26,0,26,1.0,0.0008444162972345186,255,1,0
1328,45:025:479:695,-118604,202668,6.84,6.92,6.8100000000000005,N,0,0,0,1.0,0.011560693641618507,336,1,0
1329,45:031:400:298,63879,166406,6.58,6.54,6.61,N,0,0,0,1.0,0.006116207951070342,281,0,0
1330,45:042:603:496,-28239,570663,56.33,56.41,56.24,N,1,0,1,1.0,0.0014181882644920811,565,1,0
1331,45:046:340:184,-57105,1004946,180.35,180.53,180.35,N,69,3,65,1.0,0.0009970641998560173,520,1,0
1332,45:047:909:510,-56031,869936,20.95,20.98,20.94,N,13,0,0,1.0,0.0014299332697807977,469,1,0
1333,45:053:452:363,-102492,919620,22.29,22.3,22.26,N,0,0,0,1.0,0.0004484304932736127,323,1,0
1334,45:054:015:360,-52144,293995,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1335,45:054:425:993,55831,337339,24.98,24.9,25.0,N,0,0,0,1.0,0.0032128514056225643,62,0,0
1336,45:056:362:696,26086,245219,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1337,45:058:453:809,-28478,151805,26.7,26.72,26.66,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1338,45:058:568:829,-26619,246036,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1339,45:059:874:929,-121915,4234702,21.83,21.84,21.8,N,0,0,0,1.0,0.00045787545787552943,236,1,0
1340,45:060:572:220,-22825,948653,12.67,12.7,12.66,N,0,0,0,1.0,0.0023622047244093985,288,1,0
1341,45:061:834:327,-24723,114248,18.51,18.55,18.46,N,0,0,0,1.0,0.0021563342318058837,257,1,0
1342,45:062:494:818,-23777,235965,88.43,88.54,88.42,N,0,0,0,1.0,0.0012423763270837974,351,1,0
1343,45:062:725:771,-24168,120543,12.9,12.91,12.86,N,0,0,0,1.0,0.0007745933384972724,183,1,0
1344,45:063:268:852,-30799,469279,19.14,19.17,19.13,N,1,0,1,1.0,0.0015649452269171171,248,1,0
1345,45:075:568:088,-118604,202668,6.84,6.92,6.8100000000000005,N,0,0,0,1.0,0.011560693641618507,336,1,0
1346,45:081:728:194,46249,184036,6.58,6.54,6.61,N,0,0,0,1.0,0.006116207951070342,281,0,0
1347,45:092:986:933,-28239,570663,56.33,56.41,56.24,N,1,0,1,1.0,0.0014181882644920811,565,1,0
1348,45:097:035:379,-57105,1004946,180.35,180.53,180.35,N,69,3,65,1.0,0.0009970641998560173,520,1,0
1349,45:112:416:068,-15351,121680,18.51,18.53,18.48,N,0,0,0,1.0,0.0010793308148947423,257,1,0
1350,45:112:511:857,-23777,235965,88.43,88.54,88.42,N,0,0,0,1.0,0.0012423763270837974,351,1,0
1351,45:113:463:690,-23968,120743,12.89,12.91,12.86,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1352,45:126:859:668,25886,245419,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1353,45:207:789:265,25886,245419,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1354,45:244:399:577,35413,357757,24.98,24.92,25.0,N,0,0,0,1.0,0.002407704654895615,62,0,0
1355,45:356:350:377,31432,221220,98.92,98.85,98.95,N,1,0,1,0.0,0.0007081436519980515,115,0,0
1356,45:406:425:802,31432,221220,98.92,98.85,98.95,N,1,0,1,0.0,0.0007081436519980515,115,0,0
1357,46:007:545:532,-51744,294395,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1358,46:007:747:296,-102492,919620,22.29,22.3,22.26,N,0,0,0,1.0,0.0004484304932736127,323,1,0
1359,46:008:233:318,35413,357757,24.98,24.92,25.0,N,0,0,0,1.0,0.002407704654895615,62,0,0
1360,46:011:433:184,31325,571619,15.91,15.88,15.94,N,0,0,0,1.0,0.0018891687657430327,264,0,0
1361,46:011:935:166,-28278,152005,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1362,46:012:538:259,-26405,246250,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1363,46:013:198:417,-535481,11941825,55.94,56.03,55.92,N,0,0,0,1.0,0.0016062823487418064,125,1,0
1364,46:014:572:991,-22079,1123883,32.92,32.97,32.89,N,0,0,0,1.0,0.001516530178950475,396,1,0
1365,46:014:716:054,39067,110369,7.02,7.01,7.11,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1366,46:026:809:630,-39242,808190,70.54,70.63,70.53,N,1,0,1,1.0,0.0012742460710744613,332,1,0
1367,46:028:810:965,-65772,3460070,47.34,47.37,47.26,N,26,0,26,1.0,0.0006333122229257765,255,1,0
1368,46:047:311:736,-26953,571949,56.34,56.41,56.24,N,1,0,1,1.0,0.0012409147314304766,565,1,0
1369,46:050:436:844,-56675,1005876,180.35,180.54,180.35,N,69,3,65,1.0,0.0010523983604741206,520,1,0
1370,46:052:374:376,-55831,870136,20.95,20.98,20.94,N,13,0,0,1.0,0.0014299332697807977,469,1,0
1371,46:058:029:577,-51644,294495,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1372,46:062:162:374,31325,571619,15.91,15.88,15.94,N,0,0,0,1.0,0.0018891687657430327,264,0,0
1373,46:062:464:324,-28278,152005,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1374,46:063:340:932,-26405,246250,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1375,46:064:068:655,-121715,4234902,21.83,21.84,21.8,N,0,0,0,1.0,0.00045787545787552943,236,1,0
1376,46:066:678:885,-21638,238104,88.43,88.53,88.42,N,0,0,0,1.0,0.0011295606009261755,351,1,0
1377,46:077:000:713,45249,185036,6.58,6.54,6.6,N,0,0,0,1.0,0.006116207951070342,281,0,0
1378,46:112:386:941,29125,573819,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1379,46:113:442:500,-25705,246950,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1380,46:114:345:349,-121715,4234902,21.83,21.84,21.8,N,0,0,0,1.0,0.00045787545787552943,236,1,0
1381,46:115:072:493,38767,110669,7.02,7.01,7.11,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1382,46:116:325:640,-23768,120943,12.89,12.91,12.86,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1383,46:127:678:093,45249,185036,6.58,6.54,6.6,N,0,0,0,1.0,0.006116207951070342,281,0,0
1384,46:131:185:022,25886,245419,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1385,46:352:430:367,24986,246319,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1386,46:356:497:332,31232,221420,98.92,98.86,98.95,N,1,0,1,0.0,0.000606918875177041,115,0,0
1387,46:409:307:838,31232,221420,98.92,98.86,98.95,N,1,0,1,0.0,0.000606918875177041,115,0,0
1388,46:578:130:786,-46379,535733,466.23,466.49,466.23,N,0,0,0,1.0,0.0005573538553880918,256,1,0
1389,46:628:595:980,-46379,535733,466.23,466.49,466.23,N,0,0,0,1.0,0.0005573538553880918,256,1,0
1390,47:011:101:342,-51644,294495,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1391,47:011:235:078,-101554,920558,22.29,22.3,22.26,N,0,0,0,1.0,0.0004484304932736127,323,1,0
1392,47:012:203:119,52923,340247,24.97,24.91,24.99,N,0,0,0,1.0,0.002408671216378913,62,0,0
1393,47:013:531:140,-310582,12071119,55.94,56.0,55.92,N,0,0,0,1.0,0.001071428571428612,125,1,0
1394,47:014:607:876,-21583,1124379,32.92,32.97,32.89,N,0,0,0,1.0,0.001516530178950475,396,1,0
1395,47:015:192:182,-28078,152205,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1396,47:032:902:455,-65672,3460170,47.33,47.37,47.26,N,26,0,26,1.0,0.0008444162972345186,255,1,0
1397,47:050:993:871,-26491,572068,56.34,56.4,56.24,N,1,0,1,1.0,0.001063829787233957,565,1,0
1398,47:056:186:430,-55631,870336,20.95,20.98,20.94,N,13,0,0,1.0,0.0014299332697807977,469,1,0
1399,47:061:682:690,-50944,295195,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1400,47:062:784:489,52923,340247,24.97,24.91,24.99,N,0,0,0,1.0,0.002408671216378913,62,0,0
1401,47:066:079:560,-28078,152205,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1402,47:070:593:105,-21538,238204,88.43,88.53,88.42,N,0,0,0,1.0,0.0011295606009261755,351,1,0
1403,47:082:588:262,44549,185736,6.58,6.54,6.6,N,0,0,0,1.0,0.006116207951070342,281,0,0
1404,47:090:889:066,26825,576119,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1405,47:093:520:497,23586,247719,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1406,47:118:690:751,-25705,246950,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1407,47:119:766:335,38767,110669,7.02,7.01,7.11,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1408,47:121:449:907,-21538,238204,88.43,88.53,88.42,N,0,0,0,1.0,0.0011295606009261755,351,1,0
1409,47:122:649:987,-23568,121143,12.89,12.91,12.86,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1410,47:165:081:916,-35873,811559,70.55,70.63,70.54,N,1,0,1,1.0,0.0011326631742885219,332,1,0
1411,47:334:444:992,21703,87931,7.67,7.62,7.67,N,1,0,1,1.0,0.006561679790026223,447,0,0
1412,47:386:035:009,21703,87931,7.67,7.62,7.67,N,1,0,1,1.0,0.006561679790026223,447,0,0
1413,47:483:811:020,21703,87931,7.67,7.62,7.67,N,1,0,1,1.0,0.006561679790026223,447,0,0
1414,48:014:961:379,-26653,995459,22.29,22.3,22.27,N,0,0,0,1.0,0.0004484304932736127,323,1,0
1415,48:015:220:530,-21381,1124581,32.93,32.97,32.89,N,0,0,0,1.0,0.0012132241431604231,396,1,0
1416,48:016:106:841,44866,348304,24.98,24.91,24.99,N,0,0,0,1.0,0.002810116419108803,62,0,0
1417,48:017:525:401,-305393,12076308,55.94,56.0,55.92,N,0,0,0,1.0,0.001071428571428612,125,1,0
1418,48:019:185:689,-27878,152405,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1419,48:034:433:023,-35873,811559,70.55,70.63,70.54,N,1,0,1,1.0,0.0011326631742885219,332,1,0
1420,48:036:465:328,-65572,3460270,47.31,47.37,47.26,N,26,0,26,1.0,0.001266624445851703,255,1,0
1421,48:054:954:045,-26391,572168,56.34,56.4,56.24,N,1,0,1,1.0,0.001063829787233957,565,1,0
1422,48:057:863:380,-50944,295195,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1423,48:060:061:614,-55631,870336,20.95,20.98,20.94,N,13,0,0,1.0,0.0014299332697807977,469,1,0
1424,48:066:724:970,44866,348304,24.98,24.91,24.99,N,0,0,0,1.0,0.002810116419108803,62,0,0
1425,48:069:943:143,-27878,152405,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1426,48:074:313:900,-21438,238304,88.43,88.53,88.42,N,0,0,0,1.0,0.0011295606009261755,351,1,0
1427,48:087:612:502,44549,185736,6.58,6.54,6.6,N,0,0,0,1.0,0.006116207951070342,281,0,0
1428,48:094:224:159,26625,576319,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1429,48:096:805:592,23586,247719,13.99,13.97,14.02,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1430,48:115:840:759,-50944,295195,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1431,48:122:527:584,-25305,247350,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1432,48:123:558:051,38167,111269,7.02,7.01,7.11,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1433,48:127:226:898,-23568,121143,12.89,12.91,12.86,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1434,48:144:961:030,26625,576319,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1435,48:154:022:678,-26341,572218,56.34,56.4,56.25,N,1,0,1,1.0,0.001063829787233957,565,1,0
1436,48:219:737:664,-23804,248851,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1437,48:271:591:777,-23804,248851,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1438,48:318:087:119,-48644,297495,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1439,48:338:634:049,43949,186336,6.57,6.54,6.6,N,0,0,0,1.0,0.004587155963302791,281,0,0
1440,48:905:191:732,20203,89431,7.67,7.63,7.67,N,1,0,1,1.0,0.005242463958060293,447,0,0
1441,48:991:776:866,20203,89431,7.67,7.63,7.67,N,1,0,1,1.0,0.005242463958060293,447,0,0
1442,49:018:885:857,-111364,926633,22.29,22.31,22.27,N,0,0,0,1.0,0.0008964589870013257,323,1,0
1443,49:019:959:505,44666,348504,24.98,24.91,24.98,N,0,0,0,1.0,0.002810116419108803,62,0,0
1444,49:022:877:248,-27678,152605,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1445,49:026:066:853,-20481,1125481,32.94,32.97,32.89,N,0,0,0,1.0,0.0009099181073703712,396,1,0
1446,49:027:158:487,-232093,12149608,55.96,56.0,55.96,N,0,0,0,1.0,0.0007142857142856991,125,1,0
1447,49:038:318:103,-35498,811934,70.55,70.63,70.54,N,1,0,1,1.0,0.0011326631742885219,332,1,0
1448,49:059:107:080,-26341,572218,56.34,56.4,56.25,N,1,0,1,1.0,0.001063829787233957,565,1,0
1449,49:063:424:435,-46409,879558,20.95,20.98,20.94,N,13,0,0,1.0,0.0014299332697807977,469,1,0
1450,49:069:541:840,-111364,926633,22.29,22.31,22.27,N,0,0,0,1.0,0.0008964589870013257,323,1,0
1451,49:070:562:946,44666,348504,24.98,24.91,24.98,N,0,0,0,1.0,0.002810116419108803,62,0,0
1452,49:078:304:516,-21438,238304,88.43,88.53,88.42,N,0,0,0,1.0,0.0011295606009261755,351,1,0
1453,49:125:762:464,26625,576319,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1454,49:127:949:042,38167,111269,7.02,7.01,7.11,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1455,49:130:412:520,-23168,121543,12.89,12.91,12.86,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1456,49:182:276:132,29881,573063,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1457,49:226:258:804,-23804,248851,9.94,9.95,9.91,Y,129,0,7,1.0,0.0010050251256281193,384,1,0
1458,49:320:018:338,-48344,297795,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1459,49:328:304:209,37567,111869,7.02,7.01,7.09,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1460,49:349:721:777,43649,186636,6.57,6.54,6.6,N,0,0,0,1.0,0.004587155963302791,281,0,0
1461,49:680:604:497,51767,471107,9.04,9.04,9.07,N,0,0,0,1.0,0.0,569,0,0
1462,49:680:711:346,-29877,470201,19.16,19.17,19.14,N,1,0,1,1.0,0.0005216484089724341,248,1,0
1463,49:703:205:048,20386,250919,13.99,13.97,14.0,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1464,49:713:683:946,-27704,1401323,15.04,15.06,15.03,N,0,0,0,1.0,0.0013280212483400631,308,1,0
1465,49:731:378:586,51767,471107,9.04,9.04,9.07,N,0,0,0,1.0,0.0,569,0,0
1466,49:762:419:218,-31975,561799,27.15,27.18,27.15,N,0,0,0,1.0,0.0011037527593819403,347,1,0
1467,49:850:245:071,-24212,326808,5.11,5.12,5.09,N,0,0,0,1.0,0.0019531249999999584,230,1,0
1468,49:852:122:977,-125013,4151193,8.81,8.83,8.8,N,0,0,0,1.0,0.002265005662514108,440,1,0
1469,49:865:054:566,-31975,561799,27.15,27.18,27.15,N,0,0,0,1.0,0.0011037527593819403,347,1,0
1470,49:883:579:552,-29877,470201,19.16,19.17,19.14,N,1,0,1,1.0,0.0005216484089724341,248,1,0
1471,49:902:524:326,-125013,4151193,8.81,8.83,8.8,N,0,0,0,1.0,0.002265005662514108,440,1,0
1472,49:915:292:746,-31975,561799,27.15,27.18,27.15,N,0,0,0,1.0,0.0011037527593819403,347,1,0
1473,49:916:458:542,-27704,1401323,15.04,15.06,15.03,N,0,0,0,1.0,0.0013280212483400631,308,1,0
1474,49:918:369:585,-46209,879758,20.95,20.98,20.94,N,13,0,0,1.0,0.0014299332697807977,469,1,0
1475,49:924:440:100,-48344,297795,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1476,49:924:684:882,-111164,926833,22.29,22.31,22.27,N,0,0,0,1.0,0.0008964589870013257,323,1,0
1477,49:928:609:497,-27478,152805,26.7,26.72,26.67,N,0,0,0,1.0,0.0007485029940119602,356,1,0
1478,49:952:714:673,-125013,4151193,8.81,8.83,8.8,N,0,0,0,1.0,0.002265005662514108,440,1,0
1479,49:975:175:297,-111164,926833,22.29,22.31,22.27,N,0,0,0,1.0,0.0008964589870013257,323,1,0
1480,49:975:267:151,-48344,297795,9.61,9.62,9.58,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1481,49:980:400:399,-29877,470201,19.16,19.17,19.14,N,1,0,1,1.0,0.0005216484089724341,248,1,0
1482,50:002:519:448,-24212,326808,5.11,5.12,5.09,N,0,0,0,1.0,0.0019531249999999584,230,1,0
1483,50:024:551:462,44466,348704,24.98,24.91,24.98,N,0,0,0,1.0,0.002810116419108803,62,0,0
1484,50:059:071:113,25665,123771,7.02,7.01,7.07,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1485,50:074:783:533,44466,348704,24.98,24.91,24.98,N,0,0,0,1.0,0.002810116419108803,62,0,0
1486,50:137:928:404,29881,573063,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1487,50:153:265:518,54192,176093,6.56,6.54,6.6,N,0,0,0,1.0,0.003058103975535103,281,0,0
1488,50:178:960:592,64133,3928882,46.69,46.67,46.69,N,4,0,4,1.0,0.00042854081851287807,106,0,0
1489,50:685:466:797,51167,471707,9.04,9.04,9.07,N,0,0,0,1.0,0.0,569,0,0
1490,50:731:242:793,20286,251019,13.99,13.97,14.0,N,0,0,0,1.0,0.0014316392269147868,216,0,0
1491,51:028:738:499,49805,343365,24.95,24.91,24.98,N,0,0,0,1.0,0.0016057808109192753,62,0,0
1492,51:063:450:997,25665,123771,7.02,7.01,7.07,N,0,0,0,1.0,0.0014265335235377728,95,0,0
1493,51:079:224:235,49805,343365,24.95,24.91,24.98,N,0,0,0,1.0,0.0016057808109192753,62,0,0
1494,51:139:457:977,29481,573463,15.9,15.88,15.94,N,0,0,0,1.0,0.0012594458438286884,264,0,0
1495,51:157:746:235,54192,176093,6.56,6.54,6.6,N,0,0,0,1.0,0.003058103975535103,281,0,0
1496,51:187:535:491,50567,472307,9.04,9.04,9.07,N,0,0,0,1.0,0.0,569,0,0
